time,source,destination,cwnd,mss
2024-11-11T14:17:10.786, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:10.786, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:10.786, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:10.948, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:10.948, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:10.948, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:11.137, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:11.137, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:11.137, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:11.299, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:11.299, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:11.299, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:11.461, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:11.461, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:11.461, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:11.624, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:11.624, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:11.624, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:11.794, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:11.794, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:11.794, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:11.953, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:11.953, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:11.953, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:12.117, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:12.117, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:12.117, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:12.275, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:12.275, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:12.275, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:12.437, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:12.437, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:12.437, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:12.605, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:12.605, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:12.605, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:12.783, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:12.783, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:12.783, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:12.946, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:12.946, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:12.946, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:13.108, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:13.108, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:13.108, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:13.268, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:13.268, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:13.268, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:13.428, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:13.428, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:13.428, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:13.584, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:13.584, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:13.584, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:13.749, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:13.749, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:13.749, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:13.910, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:13.910, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:13.910, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:14.068, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:14.068, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:14.068, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:14.229, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:14.229, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:14.229, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:14.391, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:14.391, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:14.391, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:14.551, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:14.551, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:14.551, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:14.743, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:14.743, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:14.743, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:14.910, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:14.910, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:14.910, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:15.128, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:15.128, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:15.128, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:15.291, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:15.291, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:15.291, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:15.455, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:15.455, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:15.455, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:15.614, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:15.614, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:15.614, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:15.773, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:15.773, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:15.773, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:15.932, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:15.932, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:15.932, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:16.091, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:16.091, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:16.091, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:16.253, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:16.253, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:16.253, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:16.410, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:16.410, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:16.410, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:16.567, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:16.567, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:16.567, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:16.720, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:16.720, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:16.720, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:16.823, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:16.823, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2122816
2024-11-11T14:17:16.823, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:16.926, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:16.926, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2115456
2024-11-11T14:17:16.926, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:17.069, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:17.069, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:17.069, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:17.232, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:17.232, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:17.232, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
