time,source,destination,cwnd,mss
2024-11-11T13:48:56.361, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:56.361, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:56.361, 10.0.3.101:41098, 10.0.1.101:5210, 144, 1448, 1063552
2024-11-11T13:48:56.489, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:56.489, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:56.489, 10.0.3.101:41098, 10.0.1.101:5210, 154, 1448, 1063552
2024-11-11T13:48:56.623, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:56.623, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:56.623, 10.0.3.101:41098, 10.0.1.101:5210, 163, 1448, 1063552
2024-11-11T13:48:56.758, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:56.758, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:56.758, 10.0.3.101:41098, 10.0.1.101:5210, 174, 1448, 1063552
2024-11-11T13:48:56.887, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:56.887, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:56.887, 10.0.3.101:41098, 10.0.1.101:5210, 181, 1448, 1063552
2024-11-11T13:48:57.025, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:57.025, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:57.025, 10.0.3.101:41098, 10.0.1.101:5210, 188, 1448, 1063552
2024-11-11T13:48:57.161, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:57.161, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:57.161, 10.0.3.101:41098, 10.0.1.101:5210, 139, 1448, 1063552
2024-11-11T13:48:57.291, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:57.291, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:57.291, 10.0.3.101:41098, 10.0.1.101:5210, 150, 1448, 1063552
2024-11-11T13:48:57.423, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:57.423, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:57.423, 10.0.3.101:41098, 10.0.1.101:5210, 159, 1448, 1063552
2024-11-11T13:48:57.557, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:57.557, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:57.557, 10.0.3.101:41098, 10.0.1.101:5210, 170, 1448, 1063552
2024-11-11T13:48:57.689, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:57.689, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
