time,source,destination,cwnd,mss,snd_wnd
2024-12-16T14:49:25.991, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:25.991, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:26.082, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:26.082, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:26.171, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:26.171, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:26.262, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:26.262, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:26.353, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:26.353, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:26.444, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:26.444, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:26.535, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:26.535, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:26.626, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:26.626, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:26.717, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:26.717, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:26.808, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:26.808, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:26.900, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:26.900, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:26.991, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:26.991, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:27.082, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:27.082, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:27.172, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:27.172, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:27.263, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:27.263, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:27.355, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:27.355, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:27.445, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:27.445, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:27.537, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:27.537, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:27.629, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:27.629, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:27.720, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:27.720, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:27.814, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:27.814, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:27.905, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:27.905, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:27.997, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:27.997, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:28.087, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:28.087, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:28.179, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:28.179, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:28.270, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:28.270, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:28.361, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:28.361, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:28.454, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:28.454, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:28.546, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:28.546, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:28.637, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:28.637, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:28.728, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:28.728, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:28.818, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:28.818, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:28.909, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:28.909, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:29.001, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:29.001, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:29.091, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:29.091, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:29.183, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:29.183, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:29.275, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:29.275, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:29.366, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:29.366, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:29.457, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:29.457, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:29.550, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:29.550, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:29.639, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:29.639, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:29.730, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:29.730, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:29.822, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:29.822, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:29.913, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:29.913, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:30.005, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:30.005, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:30.096, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:30.096, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:30.186, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:30.186, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:30.296, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:30.296, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:30.404, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:30.404, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:30.495, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:30.495, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:30.586, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:30.586, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:30.677, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:30.677, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:30.770, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:30.770, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:30.860, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:30.860, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:30.952, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:30.952, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:31.043, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:31.043, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:31.133, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:31.133, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:31.224, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:31.224, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:31.314, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:31.314, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:31.405, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:31.405, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:31.497, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:31.497, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:31.588, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:31.588, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:31.679, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:31.679, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
